Drug MW (Dalton),Edge activator (HLB),Edge activator loading,Phospholipid Lipid  loading,Phosopholipid Type,Permeation time (hour),sonication time,solvent ratio chloroform (%),hydration time,Cholesterol,Drug loading (EE%),Vesicular  Size (nm),Vesicles zeta potential (mV),Drug released percentage
424.5,4.3,30.0,50.0,phospholipon® 90G,24.0,20.0,40,150,0,72.23,,,
424.5,4.3,15.0,50.0,phospholipon® 90G,24.0,30.0,40,150,0,65.32,,,
424.5,4.3,22.5,30.0,phospholipon® 90G,24.0,20.0,40,150,0,70.23,,,
424.5,4.3,15.0,30.0,phospholipon® 90G,24.0,20.0,40,150,0,63.87,,,
424.5,4.3,15.0,70.0,phospholipon® 90G,24.0,20.0,40,150,0,95.65,,,
307.43,16.9,20.0,150.0,Phospholipon 90G,15.91,60.0,50,5,0,,218.1,-16.8,
307.43,16.9,10.0,150.0,Phospholipon 90G,15.91,60.0,50,5,0,,237.5,-22.9,
307.43,16.9,20.0,50.0,Phospholipon 90G,15.91,60.0,50,5,0,,193.0,-17.9,
307.43,16.9,30.0,100.0,Phospholipon 90G,15.91,60.0,50,5,0,,153.2,-16.1,
307.43,16.9,20.0,100.0,Phospholipon 90G,15.91,60.0,50,5,0,,138.7,-12.0,
307.43,16.9,30.0,150.0,Phospholipon 90G,15.91,60.0,50,5,0,,254.9,-19.7,
307.43,16.9,10.0,100.0,Phospholipon 90G,15.91,60.0,50,5,0,,142.3,-18.3,
307.43,16.9,30.0,50.0,Phospholipon 90G,15.91,60.0,50,5,0,,218.8,-22.7,
307.43,16.9,10.0,50.0,Phospholipon 90G,15.91,60.0,50,5,0,,203.6,-23.8,
575.85,16.7,40.0,40.0,phosphatidylcholine soy lecithin,15.91,20.0,75,15,1,87.21,83.39,-20.0,
575.85,16.7,20.0,60.0,phosphatidylcholine soy lecithin,15.91,20.0,75,15,1,79.98,70.65,-24.0,
575.85,16.7,30.0,60.0,phosphatidylcholine soy lecithin,15.91,20.0,75,15,1,82.9,70.15,-22.8,
575.85,16.7,15.0,90.0,phosphatidylcholine soy lecithin,15.91,20.0,75,15,1,80.77,77.94,-19.5,
575.85,16.7,30.0,90.0,phosphatidylcholine soy lecithin,15.91,20.0,75,15,1,84.91,64.96,-16.2,
575.85,16.7,20.0,90.0,phosphatidylcholine soy lecithin,15.91,20.0,75,15,1,85.09,63.02,-20.93,
228.29,20.0,50.0,750.0,Phospholipon 90G,15.91,2.0,67,60,0,75.69,161.6,,
228.29,20.0,150.0,750.0,Phospholipon 90G,15.91,2.0,67,60,0,81.41,98.21,,
228.29,20.0,250.0,750.0,Phospholipon 90G,15.91,2.0,67,60,0,78.85,71.76,,
228.29,20.0,50.0,850.0,Phospholipon 90G,15.91,2.0,67,60,0,77.23,193.5,,
228.29,20.0,150.0,850.0,Phospholipon 90G,15.91,2.0,67,60,0,82.59,125.4,,
228.29,20.0,250.0,850.0,Phospholipon 90G,15.91,2.0,67,60,0,80.23,84.97,,
228.29,20.0,50.0,950.0,Phospholipon 90G,15.91,2.0,67,60,0,78.87,223.6,,
228.29,20.0,150.0,950.0,Phospholipon 90G,15.91,2.0,67,60,0,83.76,128.6,,
228.29,20.0,250.0,950.0,Phospholipon 90G,15.91,2.0,67,60,0,81.41,75.35,,
