Drug MW (Dalton),DRUG (Log P),Edge activator (HLB),Edge activator loading,Phospholipid Lipid  loading,Phosopholipid Type,Permeation time (hour),sonication time,solvent ratio chloroform (%),hydration time,Cholesterol ,Drug loading (EE%),Vesicular  Size (nm),Vesicles zeta potential (mV),Drug released percentage,,,,,,,,,,
,,15,10,90,phosphatidylcholine egg yolk,,0,0,120,0,92.47,816.67,-5.3,,,,,,,,,,,
,,15,20,80,phosphatidylcholine egg yolk,,0,0,120,0,92.03,956.33,-5.22,,,,,,,,,,,
209.251,1.24,15,3,30,Phospholipid 90G,,2,0,5,0,78.8,148,,,,,,,,,,,,
209.251,1.24,18,3,30,Phospholipid 90G,,2,0,5,0,78.8,274.4,,,,,,,,,,,,
209.251,1.24,4.3,3,30,Phospholipid 90G,,2,0,5,0,78.4,364.2,,,,,,,,,,,,
209.251,1.24,17,3,30,Phospholipid 90G,24,2,0,5,0,77,350.7,,,,,,,,,,,,
356.44 ,2.5,4.3,15,50,Phospholipid 90G,24,10,40,150,0,76.45,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,70,Phospholipid 90G,24,10,40,150,0,95.58,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,50,Phospholipid 90G,24,30,40,150,0,66.34,,,,,,,,,,,,,
356.44 ,2.5,4.3,30,50,Phospholipid 90G,24,10,40,150,0,65.23,,,,,,,,,,,,,
356.44 ,2.5,4.3,15,50,Phospholipid 90G,24,20,40,150,0,84.65,,,,,,,,,,,,,
356.44 ,2.5,4.3,30,70,Phospholipid 90G,24,20,40,150,0,80.76,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,30,Phospholipid 90G,24,30,40,150,0,65.23,,,,,,,,,,,,,
356.44 ,2.5,4.3,15,50,Phospholipid 90G,24,20,40,150,0,73.87,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,50,Phospholipid 90G,24,10,40,150,0,81.33,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,50,Phospholipid 90G,24,20,40,150,0,71.23,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,50,Phospholipid 90G,24,20,40,150,0,72.32,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,30,Phospholipid 90G,24,20,40,150,0,63.76,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,50,Phospholipid 90G,24,20,40,150,0,73.12,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,50,Phospholipid 90G,24,20,40,150,0,74.52,,,,,,,,,,,,,
356.44 ,2.5,4.3,30,50,Phospholipid 90G,24,30,40,150,0,58.54,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,70,Phospholipid 90G,24,30,40,150,0,66.43,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,50,Phospholipid 90G,24,30,40,150,0,59.32,,,,,,,,,,,,,
356.44 ,2.5,4.3,30,50,Phospholipid 90G,24,20,40,150,0,61.87,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,70,Phospholipid 90G,24,20,40,150,0,76.65,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,50,Phospholipid 90G,24,10,40,150,0,80.33,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,70,Phospholipid 90G,24,20,40,150,0,94.23,,,,,,,,,,,,,
356.44 ,2.5,4.3,30,30,Phospholipid 90G,24,20,40,150,0,68.21,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,50,Phospholipid 90G,24,20,40,150,0,83.24,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,30,Phospholipid 90G,24,10,40,150,0,64.23,,,,,,,,,,,,,
356.44 ,2.5,4.3,30,50,Phospholipid 90G,24,20,40,150,0,70.45,,,,,,,,,,,,,
356.44 ,2.5,4.3,15,50,Phospholipid 90G,24,30,40,150,0,64.87,,,,,,,,,,,,,
356.44 ,2.5,4.3,22.5,30,Phospholipid 90G,24,20,40,150,0,71.54,,,,,,,,,,,,,
